Coverged local optima,Time(s),Number of passes
30.0,26.407362699508667,4.0
36.0,24.40314221382141,4.0
24.0,38.05234718322754,6.0
21.0,43.41145730018616,7.0
25.0,38.340513706207275,6.0
46.0,24.398889541625977,4.0
45.0,18.27710795402527,3.0
34.0,18.29709506034851,3.0
41.0,24.592955112457275,4.0
23.0,37.18582558631897,6.0
31.0,24.420993089675903,4.0
40.0,31.405110120773315,5.0
33.0,25.536966562271118,4.0
50.0,18.567333221435547,3.0
58.0,18.226565837860107,3.0
37.0,36.175474882125854,6.0
31.0,24.64053726196289,4.0
39.0,24.489187240600586,4.0
47.0,43.327142000198364,7.0
25.0,30.92163109779358,5.0
37.0,30.538392543792725,5.0
45.0,25.054054260253906,4.0
48.0,30.876466989517212,5.0
48.0,19.031962156295776,3.0
27.0,31.604125499725342,5.0
