Coverged local optima,Time(s)
11.0,1.6315020322799683
16.0,1.6605324745178223
15.0,1.6466264724731445
10.0,1.6497219800949097
14.0,1.6479145288467407
12.0,1.6387314796447754
11.0,1.629120111465454
15.0,1.644253134727478
10.0,1.6261733770370483
7.0,1.647017478942871
13.0,1.6422914266586304
14.0,1.6449830532073975
12.0,1.6913087368011475
11.0,1.734921932220459
14.0,1.6557484865188599
14.0,1.6461901664733887
19.0,1.6456427574157715
12.0,1.644782304763794
16.0,1.6336637735366821
20.0,1.6314412355422974
13.0,1.6311588287353516
15.0,1.6541603803634644
11.0,1.6119887828826904
14.0,1.6068309545516968
12.0,1.6132432222366333
