Coverged local optima,Time(s)
8.0,380.59913086891174
10.0,383.57560563087463
14.0,357.9342315196991
12.0,354.6550259590149
13.0,353.51645398139954
14.0,354.5536127090454
12.0,359.0544846057892
9.0,354.25896549224854
13.0,355.8369903564453
13.0,353.7420082092285
12.0,359.58327531814575
13.0,354.1314363479614
10.0,352.87525749206543
13.0,360.20285820961
12.0,355.45526695251465
15.0,353.1846618652344
18.0,366.04034304618835
8.0,355.6171691417694
11.0,363.213440656662
8.0,372.67513489723206
8.0,367.79172587394714
14.0,386.1911904811859
13.0,419.192467212677
14.0,382.6780617237091
17.0,470.96702814102173
