Coverged local optima,Time(s),Number of passes
45.0,6.69226861000061,4.0
34.0,6.622652769088745,4.0
48.0,6.5485827922821045,4.0
51.0,9.582727909088135,6.0
32.0,6.3842613697052,4.0
28.0,11.064512491226196,7.0
37.0,6.358901500701904,4.0
43.0,6.602794408798218,4.0
53.0,6.691566705703735,4.0
40.0,9.620204210281372,6.0
35.0,7.929330825805664,5.0
35.0,7.969185829162598,5.0
25.0,9.560023069381714,6.0
56.0,4.763428688049316,3.0
14.0,6.354387044906616,4.0
33.0,11.09590220451355,7.0
51.0,6.466734170913696,4.0
22.0,11.201762199401855,7.0
24.0,9.848673820495605,6.0
46.0,6.456896781921387,4.0
47.0,6.346437454223633,4.0
48.0,7.947890520095825,5.0
57.0,6.57433295249939,4.0
63.0,8.1767258644104,5.0
36.0,6.552485227584839,4.0
